Nome,Email,Telefono,Descrizione,Sito Web,Data Scraping,Indirizzo,Settore
Farmacia Il Borgo,info@farmaciailborgo.it,+39 349 3305333,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore commercio al dettaglio. Fondata nel 1951, siamo cresciuti fino a diventare un punto di riferimento a Cagliari.",https://www.farmaciailborgo.it,2025-04-09 15:56:01,"Via Foscolo, 143 - 87086 Cagliari",Commercio al dettaglio
Pasticceria Da Paolo,info@pasticceriadapaolo.it,+39 350 7936240,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore servizi professionali. Fondata nel 1965, siamo cresciuti fino a diventare un punto di riferimento a Parma.",,2025-04-09 15:56:01,"Viale dei Pini, 193 - 57091 Parma",Servizi professionali
Ceramiche Da Giuseppe,ceramichedagiuseppe@alice.it,+39 312 8679090,Dal 1967 offriamo servizi di qualità nel settore automotive. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.ceramichedagiuseppe.it,2025-04-09 15:56:01,"Via Mazzini, 140 - 72035 Lecce",Automotive
Profumeria Da Antonio,profumeriadaantonio@tiscali.it,+39 037 542858,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore manifatturiero. Fondata nel 2019, siamo cresciuti fino a diventare un punto di riferimento a Lecce.",,2025-04-09 15:56:01,"Piazza della Repubblica, 41 - 58047 Lecce",Manifatturiero
Gioielleria Da Roberto,gioielleriadaroberto@libero.it,+39 368 9563737,Specialisti nel settore manifatturiero con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Cagliari e oltre.,https://www.gioielleriadaroberto.it,2025-04-09 15:56:01,"Corso Inghilterra, 105 - 55025 Cagliari",Manifatturiero
Elettrica Da Roberto,info@elettricadaroberto.it,+39 305 5907560,Dal 1982 offriamo servizi di qualità nel settore tecnologia. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.elettricadaroberto.it,2025-04-09 15:56:01,"Via Bernini, 98 - 13053 Trieste",Tecnologia
Agriturismo Da Carlo,agriturismodacarlo@yahoo.it,+39 373 8555843,Specialisti nel settore finanziario con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Genova e oltre.,,2025-04-09 15:56:01,"Via Verona, 67 - 52031 Genova",Finanziario
Ottica Da Giuseppe,info@otticadagiuseppe.it,+39 025 747345,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore salute. Fondata nel 1984, siamo cresciuti fino a diventare un punto di riferimento a Ravenna.",https://www.otticadagiuseppe.it,2025-04-09 15:56:01,"Via Napoli, 63 - 92094 Ravenna",Salute
Gommista La Torre,info@gommistalatorre.it,+39 371 9335054,Dal 1995 offriamo servizi di qualità nel settore alimentare. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.gommistalatorre.it,2025-04-09 15:56:01,"Via Caravaggio, 107 - 98070 Bergamo",Alimentare
Ottica La Cascata,info@otticalacascata.it,+39 326 9298530,Specialisti nel settore finanziario con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Sassari e oltre.,,2025-04-09 15:56:01,"Piazza San Marco, 5 - 72022 Sassari",Finanziario
Assicurazioni Metropolitan,info@assicurazionimetropolitan.it,+39 095 941628,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore ristorazione. Fondata nel 1958, siamo cresciuti fino a diventare un punto di riferimento a Arezzo.",https://www.assicurazionimetropolitan.it,2025-04-09 15:56:01,"Via Caravaggio, 116 - 39077 Arezzo",Ristorazione
Assicurazioni Il Castello,info@assicurazioniilcastello.it,+39 094 653489,La nostra missione è fornire il miglior servizio possibile nel settore agricoltura. Siamo un'azienda a conduzione familiare con oltre 37 anni di esperienza.,,2025-04-09 15:56:01,"Via Bologna, 72 - 66064 Reggio Emilia",Agricoltura
Pasticceria Da Mario,pasticceriadamario@hotmail.com,+39 362 5257077,La nostra missione è fornire il miglior servizio possibile nel settore commercio al dettaglio. Siamo un'azienda a conduzione familiare con oltre 30 anni di esperienza.,https://www.pasticceriadamario.it,2025-04-09 15:56:01,"Viale dei Giardini, 69 - 28081 Terni",Commercio al dettaglio
Piscina Da Bruno,piscinadabruno@tiscali.it,+39 338 6363161,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore manifatturiero. Fondata nel 1953, siamo cresciuti fino a diventare un punto di riferimento a Bari.",https://www.piscinadabruno.it,2025-04-09 15:56:01,"Piazza Duomo, 94 - 52043 Bari",Manifatturiero
Concessionaria La Torre,info@concessionarialatorre.it,+39 338 5690205,Azienda leader nel settore salute con sede a Trieste. Offriamo prodotti e servizi di alta qualità dal 2009.,https://www.concessionarialatorre.it,2025-04-09 15:56:01,"Via Caravaggio, 116 - 39040 Trieste",Salute
Gelateria Il Pozzo,gelateriailpozzo@fastwebnet.it,+39 332 6249916,Dal 1993 offriamo servizi di qualità nel settore alberghiero. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Via Mazzini, 183 - 73042 Piacenza",Alberghiero
Hotel Da Marco,hoteldamarco@tin.it,+39 099 136447,Dal 1961 offriamo servizi di qualità nel settore trasporti. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Viale degli Ulivi, 95 - 80064 Terni",Trasporti
Fabbro La Torre,info@fabbrolatorre.it,+39 382 5739327,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore moda. Fondata nel 1964, siamo cresciuti fino a diventare un punto di riferimento a Piacenza.",https://www.fabbrolatorre.it,2025-04-09 15:56:01,"Via Carducci, 153 - 84031 Piacenza",Moda
Pizzeria La Locanda,info@pizzerialalocanda.it,+39 348 9845896,La nostra missione è fornire il miglior servizio possibile nel settore commercio all'ingrosso. Siamo un'azienda a conduzione familiare con oltre 11 anni di esperienza.,https://www.pizzerialalocanda.it,2025-04-09 15:56:01,"Via Fermi, 94 - 70073 Latina",Commercio all'ingrosso
Osteria La Rosa,osterialarosa@yahoo.it,+39 043 960264,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore commercio all'ingrosso. Fondata nel 1983, siamo cresciuti fino a diventare un punto di riferimento a Milano.",https://www.osterialarosa.it,2025-04-09 15:56:01,"Viale degli Ulivi, 163 - 78021 Milano",Commercio all'ingrosso
Calzature La Perla,info@calzaturelaperla.it,+39 060 800633,Dal 2011 offriamo servizi di qualità nel settore manifatturiero. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Via Leonardo da Vinci, 44 - 67073 Bolzano",Manifatturiero
Falegnameria Il Gabbiano,falegnameriailgabbiano@yahoo.it,+39 304 8726692,Specialisti nel settore ristorazione con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Latina e oltre.,,2025-04-09 15:56:01,"Via Napoli, 60 - 42012 Latina",Ristorazione
Idraulica Elite,info@idraulicaelite.it,+39 049 735723,Specialisti nel settore commercio all'ingrosso con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Forlì e oltre.,,2025-04-09 15:56:01,"Via Bologna, 179 - 94023 Forlì",Commercio all'ingrosso
Elettrauto La Bottega,elettrautolabottega@hotmail.com,+39 024 487576,Azienda leader nel settore edilizia con sede a Siracusa. Offriamo prodotti e servizi di alta qualità dal 2007.,,2025-04-09 15:56:01,"Corso Italia, 43 - 51084 Siracusa",Edilizia
Osteria Il Borgo,info@osteriailborgo.it,+39 064 286858,Specialisti nel settore commercio al dettaglio con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Palermo e oltre.,https://www.osteriailborgo.it,2025-04-09 15:56:01,"Via Foscolo, 152 - 97023 Palermo",Commercio al dettaglio
Gioielleria Da Giuseppe,gioielleriadagiuseppe@virgilio.it,+39 377 9556139,Azienda leader nel settore manifatturiero con sede a Padova. Offriamo prodotti e servizi di alta qualità dal 2014.,https://www.gioielleriadagiuseppe.it,2025-04-09 15:56:01,"Via Bernini, 28 - 53018 Padova",Manifatturiero
Profumeria Metropolitan,info@profumeriametropolitan.it,+39 063 536572,Specialisti nel settore alberghiero con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Sassari e oltre.,,2025-04-09 15:56:01,"Corso Francia, 136 - 26055 Sassari",Alberghiero
Fabbro Il Castello,info@fabbroilcastello.it,+39 095 748449,Azienda leader nel settore servizi professionali con sede a Siracusa. Offriamo prodotti e servizi di alta qualità dal 2013.,https://www.fabbroilcastello.it,2025-04-09 15:56:01,"Via Raffaello, 159 - 27020 Siracusa",Servizi professionali
Pizzeria Da Bruno,info@pizzeriadabruno.it,+39 338 1370763,Specialisti nel settore alberghiero con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Palermo e oltre.,,2025-04-09 15:56:01,"Via Foscolo, 2 - 20041 Palermo",Alberghiero
Gelateria International,info@gelateriainternational.it,+39 316 8227873,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore alimentare. Fondata nel 1980, siamo cresciuti fino a diventare un punto di riferimento a Pesaro.",,2025-04-09 15:56:01,"Via Foscolo, 70 - 82065 Pesaro",Alimentare
Hotel Il Palazzo,hotelilpalazzo@virgilio.it,+39 317 2337934,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore moda. Fondata nel 1951, siamo cresciuti fino a diventare un punto di riferimento a Novara.",https://www.hotelilpalazzo.it,2025-04-09 15:56:01,"Viale degli Ulivi, 177 - 49058 Novara",Moda
Pasticceria Da Luigi,info@pasticceriadaluigi.it,+39 059 195028,Specialisti nel settore ristorazione con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Firenze e oltre.,https://www.pasticceriadaluigi.it,2025-04-09 15:56:01,"Via Fermi, 130 - 40028 Firenze",Ristorazione
Piscina La Torre,info@piscinalatorre.it,+39 010 372259,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore immobiliare. Fondata nel 1976, siamo cresciuti fino a diventare un punto di riferimento a Prato.",,2025-04-09 15:56:01,"Corso America, 32 - 90075 Prato",Immobiliare
Spa Da Riccardo,info@spadariccardo.it,+39 355 7761489,Dal 1968 offriamo servizi di qualità nel settore trasporti. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Via Bologna, 68 - 84061 Venezia",Trasporti
Negozio Da Francesco,negoziodafrancesco@virgilio.it,+39 314 9062897,Azienda leader nel settore logistica con sede a Trieste. Offriamo prodotti e servizi di alta qualità dal 1998.,https://www.negoziodafrancesco.it,2025-04-09 15:56:01,"Corso Francia, 192 - 36085 Trieste",Logistica
Assicurazioni La Fontana,info@assicurazionilafontana.it,+39 310 2918427,La nostra missione è fornire il miglior servizio possibile nel settore moda. Siamo un'azienda a conduzione familiare con oltre 50 anni di esperienza.,https://www.assicurazionilafontana.it,2025-04-09 15:56:01,"Via Einstein, 8 - 69045 Bari",Moda
Piscina Il Mulino,info@piscinailmulino.it,+39 029 853464,Specialisti nel settore automotive con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Taranto e oltre.,https://www.piscinailmulino.it,2025-04-09 15:56:01,"Piazza della Repubblica, 127 - 53048 Taranto",Automotive
Macelleria Elite,info@macelleriaelite.it,+39 398 8377050,Specialisti nel settore salute con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Perugia e oltre.,https://www.macelleriaelite.it,2025-04-09 15:56:01,"Viale delle Rose, 127 - 64087 Perugia",Salute
Macelleria International,info@macelleriainternational.it,+39 015 326546,La nostra missione è fornire il miglior servizio possibile nel settore logistica. Siamo un'azienda a conduzione familiare con oltre 44 anni di esperienza.,https://www.macelleriainternational.it,2025-04-09 15:56:01,"Via Dante, 118 - 66065 Bergamo",Logistica
Centro Il Pino,info@centroilpino.it,+39 344 7116192,Dal 1962 offriamo servizi di qualità nel settore alberghiero. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Piazza San Marco, 114 - 71066 Andria",Alberghiero
Impresa Il Cantuccio,info@impresailcantuccio.it,+39 386 2139902,La nostra missione è fornire il miglior servizio possibile nel settore agricoltura. Siamo un'azienda a conduzione familiare con oltre 22 anni di esperienza.,https://www.impresailcantuccio.it,2025-04-09 15:56:01,"Via Einstein, 35 - 10016 Vicenza",Agricoltura
Estetica Express,esteticaexpress@hotmail.com,+39 070 338336,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore benessere. Fondata nel 2009, siamo cresciuti fino a diventare un punto di riferimento a Vicenza.",https://www.esteticaexpress.it,2025-04-09 15:56:01,"Via Verona, 5 - 90090 Vicenza",Benessere
Palestra Da Carlo,info@palestradacarlo.it,+39 082 262809,Specialisti nel settore finanziario con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Andria e oltre.,https://www.palestradacarlo.it,2025-04-09 15:56:01,"Via Leopardi, 25 - 18091 Andria",Finanziario
Impresa La Piazza,impresalapiazza@hotmail.com,+39 010 902805,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore benessere. Fondata nel 1991, siamo cresciuti fino a diventare un punto di riferimento a Cagliari.",,2025-04-09 15:56:01,"Via Alfieri, 87 - 39062 Cagliari",Benessere
Gioielleria La Torre,info@gioiellerialatorre.it,+39 377 3848989,Dal 1999 offriamo servizi di qualità nel settore assicurativo. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Corso America, 56 - 96039 Cagliari",Assicurativo
Spa Il Gabbiano,spailgabbiano@tin.it,+39 320 2581276,La nostra missione è fornire il miglior servizio possibile nel settore artigianato. Siamo un'azienda a conduzione familiare con oltre 11 anni di esperienza.,https://www.spailgabbiano.it,2025-04-09 15:56:01,"Viale degli Ulivi, 169 - 72053 Bolzano",Artigianato
Pensione La Fontana,info@pensionelafontana.it,+39 079 476732,Azienda leader nel settore tecnologia con sede a Bolzano. Offriamo prodotti e servizi di alta qualità dal 1959.,https://www.pensionelafontana.it,2025-04-09 15:56:01,"Viale dei Pini, 149 - 82023 Bolzano",Tecnologia
Elettrauto Elite,elettrautoelite@yahoo.it,+39 310 5862531,Specialisti nel settore finanziario con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Perugia e oltre.,https://www.elettrautoelite.it,2025-04-09 15:56:01,"Via Caravaggio, 85 - 16010 Perugia",Finanziario
Negozio Buongusto,negoziobuongusto@alice.it,+39 375 9186615,Specialisti nel settore alberghiero con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Palermo e oltre.,https://www.negoziobuongusto.it,2025-04-09 15:56:01,"Via Firenze, 163 - 47087 Palermo",Alberghiero
Fabbro Da Pietro,info@fabbrodapietro.it,+39 052 874962,La nostra missione è fornire il miglior servizio possibile nel settore alimentare. Siamo un'azienda a conduzione familiare con oltre 39 anni di esperienza.,https://www.fabbrodapietro.it,2025-04-09 15:56:01,"Via Venezia, 17 - 95052 Salerno",Alimentare
Studio International,info@studiointernational.it,+39 334 7452745,Specialisti nel settore artigianato con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Reggio Calabria e oltre.,https://www.studiointernational.it,2025-04-09 15:56:01,"Via Botticelli, 49 - 15072 Reggio Calabria",Artigianato
Costruzioni Da Marco,info@costruzionidamarco.it,+39 323 1597852,Specialisti nel settore alimentare con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Reggio Emilia e oltre.,https://www.costruzionidamarco.it,2025-04-09 15:56:01,"Via Carducci, 184 - 22031 Reggio Emilia",Alimentare
Ferramenta Deluxe,info@ferramentadeluxe.it,+39 397 2571859,Specialisti nel settore commercio all'ingrosso con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Milano e oltre.,https://www.ferramentadeluxe.it,2025-04-09 15:56:01,"Via Roma, 113 - 78052 Milano",Commercio all'ingrosso
B&B L'Ulivo,b&blulivo@libero.it,+39 340 6056517,La nostra missione è fornire il miglior servizio possibile nel settore edilizia. Siamo un'azienda a conduzione familiare con oltre 23 anni di esperienza.,https://www.b&blulivo.it,2025-04-09 15:56:01,"Via Michelangelo, 194 - 34057 Taranto",Edilizia
Idraulica Il Borgo,info@idraulicailborgo.it,+39 318 1877556,La nostra missione è fornire il miglior servizio possibile nel settore agricoltura. Siamo un'azienda a conduzione familiare con oltre 43 anni di esperienza.,,2025-04-09 15:56:01,"Via Canova, 15 - 28069 Salerno",Agricoltura
Consulenza Deluxe,consulenzadeluxe@alice.it,+39 374 5612477,Specialisti nel settore immobiliare con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Rimini e oltre.,,2025-04-09 15:56:01,"Via Cavour, 19 - 61055 Rimini",Immobiliare
Boutique Metropolitan,boutiquemetropolitan@outlook.it,+39 056 670646,La nostra missione è fornire il miglior servizio possibile nel settore benessere. Siamo un'azienda a conduzione familiare con oltre 8 anni di esperienza.,https://www.boutiquemetropolitan.it,2025-04-09 15:56:01,"Via Bologna, 121 - 35057 Monza",Benessere
Calzature Da Carlo,info@calzaturedacarlo.it,+39 333 9958206,La nostra missione è fornire il miglior servizio possibile nel settore assicurativo. Siamo un'azienda a conduzione familiare con oltre 36 anni di esperienza.,https://www.calzaturedacarlo.it,2025-04-09 15:56:01,"Via Palermo, 147 - 16028 Padova",Assicurativo
Estetica Royal,info@esteticaroyal.it,+39 072 353656,Dal 1977 offriamo servizi di qualità nel settore trasporti. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Via Canova, 63 - 67023 Napoli",Trasporti
Marmi La Locanda,info@marmilalocanda.it,+39 040 349554,Dal 2012 offriamo servizi di qualità nel settore servizi professionali. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.marmilalocanda.it,2025-04-09 15:56:01,"Via Petrarca, 63 - 35053 Roma",Servizi professionali
Trattoria Buongusto,info@trattoriabuongusto.it,+39 390 8552111,Azienda leader nel settore alberghiero con sede a Brescia. Offriamo prodotti e servizi di alta qualità dal 2010.,,2025-04-09 15:56:01,"Via Firenze, 45 - 53071 Brescia",Alberghiero
Concessionaria Il Cantuccio,info@concessionariailcantuccio.it,+39 396 1582683,Azienda leader nel settore agricoltura con sede a Trieste. Offriamo prodotti e servizi di alta qualità dal 1981.,https://www.concessionariailcantuccio.it,2025-04-09 15:56:01,"Via Verona, 86 - 59021 Trieste",Agricoltura
Osteria Da Andrea,osteriadaandrea@hotmail.com,+39 087 332715,Specialisti nel settore commercio al dettaglio con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Livorno e oltre.,,2025-04-09 15:56:01,"Via Mazzini, 24 - 80088 Livorno",Commercio al dettaglio
Pizzeria Metropolitan,info@pizzeriametropolitan.it,+39 353 4882161,Specialisti nel settore ristorazione con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Brescia e oltre.,https://www.pizzeriametropolitan.it,2025-04-09 15:56:01,"Via Genova, 32 - 36063 Brescia",Ristorazione
Marmi Da Giuseppe,info@marmidagiuseppe.it,+39 315 5260583,La nostra missione è fornire il miglior servizio possibile nel settore artigianato. Siamo un'azienda a conduzione familiare con oltre 46 anni di esperienza.,https://www.marmidagiuseppe.it,2025-04-09 15:56:01,"Via Botticelli, 61 - 28063 Napoli",Artigianato
Ceramiche Il Rifugio,info@ceramicheilrifugio.it,+39 081 359379,Dal 1952 offriamo servizi di qualità nel settore assicurativo. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Corso Europa, 25 - 76013 Foggia",Assicurativo
Gioielleria Imperial,info@gioielleriaimperial.it,+39 308 2760423,Dal 2014 offriamo servizi di qualità nel settore alimentare. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,,2025-04-09 15:56:01,"Piazza Maggiore, 172 - 30065 Modena",Alimentare
Consulenza Il Borgo,info@consulenzailborgo.it,+39 039 572191,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore automotive. Fondata nel 1998, siamo cresciuti fino a diventare un punto di riferimento a Firenze.",,2025-04-09 15:56:01,"Via Genova, 184 - 43024 Firenze",Automotive
Hotel Express,info@hotelexpress.it,+39 329 5968887,Specialisti nel settore automotive con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Genova e oltre.,,2025-04-09 15:56:01,"Piazza Duomo, 105 - 33066 Genova",Automotive
Benessere Il Faro,info@benessereilfaro.it,+39 352 9976760,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore assicurativo. Fondata nel 2001, siamo cresciuti fino a diventare un punto di riferimento a Trieste.",https://www.benessereilfaro.it,2025-04-09 15:56:01,"Via Raffaello, 95 - 28022 Trieste",Assicurativo
Idraulica L'Angolo,idraulicalangolo@hotmail.com,+39 376 2230930,La nostra missione è fornire il miglior servizio possibile nel settore benessere. Siamo un'azienda a conduzione familiare con oltre 31 anni di esperienza.,https://www.idraulicalangolo.it,2025-04-09 15:56:01,"Via Einstein, 171 - 33073 Siracusa",Benessere
Osteria Continental,info@osteriacontinental.it,+39 357 9934498,Azienda leader nel settore servizi professionali con sede a Genova. Offriamo prodotti e servizi di alta qualità dal 1959.,https://www.osteriacontinental.it,2025-04-09 15:56:01,"Via Bernini, 91 - 32099 Genova",Servizi professionali
Locanda La Stella,info@locandalastella.it,+39 011 589413,Dal 2006 offriamo servizi di qualità nel settore tecnologia. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.locandalastella.it,2025-04-09 15:56:01,"Via Raffaello, 83 - 68028 Livorno",Tecnologia
Salumeria Da Marco,info@salumeriadamarco.it,+39 326 9130216,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore logistica. Fondata nel 1965, siamo cresciuti fino a diventare un punto di riferimento a Firenze.",,2025-04-09 15:56:01,"Via Volta, 107 - 52034 Firenze",Logistica
Hotel Da Roberto,info@hoteldaroberto.it,+39 341 3740000,Azienda leader nel settore assicurativo con sede a Roma. Offriamo prodotti e servizi di alta qualità dal 1972.,https://www.hoteldaroberto.it,2025-04-09 15:56:01,"Via Leonardo da Vinci, 196 - 58022 Roma",Assicurativo
Bar Da Giuseppe,info@bardagiuseppe.it,+39 359 1163021,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore benessere. Fondata nel 1995, siamo cresciuti fino a diventare un punto di riferimento a Parma.",https://www.bardagiuseppe.it,2025-04-09 15:56:01,"Via Bernini, 131 - 71062 Parma",Benessere
